Номер операции      Угол элевации       Угол курса
251                   24.9699               48.1285
252                   24.9699               48.1285
253                   25.0006               47.3263
254                   25.0313               46.5242
255                   25.0621               45.722
256                   25.0621               45.722
257                   25.124               47.3263
258                   25.124               47.3263
259                   25.155               46.5242
260                   25.1861               45.722
261                   25.2172               46.5242
262                   25.2485               45.722
263                   25.2798               46.5242
264                   25.3112               45.722
265                   25.3426               46.5242
266                   25.3741               45.722
267                   25.4057               46.5242
268                   25.4692               44.9199
269                   25.4692               44.9199
270                   25.501               45.722
271                   25.5648               47.3263
272                   25.5969               46.5242
273                   25.629               45.722
274                   25.6612               46.5242
275                   25.7258               44.9199
276                   25.7258               44.9199
277                   25.7907               46.5242
278                   25.7907               46.5242
279                   25.8559               48.1285
280                   25.8559               48.1285
281                   25.8887               47.3263
282                   25.9544               45.722
283                   25.9544               45.722
284                   26.0204               47.3263
285                   26.0204               47.3263
286                   26.0867               45.722
287                   26.0867               45.722
288                   26.1199               46.5242
289                   26.1867               44.9199
290                   26.1867               44.9199
291                   26.2202               45.722
292                   26.2538               46.5242
293                   26.2875               47.3263
294                   26.3213               46.5242
295                   26.3551               47.3263
296                   26.389               46.5242
297                   26.423               45.722
298                   26.4571               46.5242
299                   26.4912               45.722
300                   26.5255               46.5242
301                   26.5255               46.5242
302                   26.5598               47.3263
303                   26.6287               45.722
304                   26.6287               45.722
305                   26.6633               46.5242
306                   26.6979               45.722
307                   26.7326               46.5242
308                   26.7675               47.3263
309                   26.8024               46.5242
310                   26.8374               45.722
311                   26.8724               46.5242
312                   26.9076               45.722
313                   26.9428               46.5242
314                   26.9782               47.3263
315                   27.0136               46.5242
316                   27.0491               45.722
317                   27.0847               46.5242
318                   27.1203               45.722
319                   27.192               47.3263
320                   27.2279               46.5242
321                   27.2279               46.5242
322                   27.2639               45.722
323                   27.3               46.5242
324                   27.3362               45.722
325                   27.4089               47.3263
326                   27.4089               47.3263
327                   27.4819               45.722
328                   27.4819               45.722
329                   27.5186               46.5242
330                   27.5553               45.722
331                   27.5921               46.5242
332                   27.6291               45.722
333                   27.6661               46.5242
334                   27.7032               47.3263
335                   27.7404               46.5242
336                   27.7776               45.722
337                   27.815               46.5242
338                   27.815               46.5242
339                   27.8525               45.722
340                   27.8901               46.5242
341                   27.9654               48.1285
342                   27.9654               48.1285
343                   28.0033               47.3263
344                   28.0412               46.5242
345                   28.1174               44.9199
346                   28.1174               44.9199
347                   28.1556               45.722
348                   28.1939               46.5242
349                   28.2323               45.722
350                   28.3094               47.3263
351                   28.3094               47.3263
352                   28.3482               46.5242
353                   28.3482               46.5242
354                   28.387               45.722
355                   28.4648               47.3263
356                   28.4648               47.3263
357                   28.5039               46.5242
358                   28.5431               45.722
359                   28.5824               46.5242
360                   28.6218               45.722
361                   28.6613               46.5242
362                   28.7009               45.722
363                   28.7009               45.722
364                   28.7406               46.5242
365                   28.7804               45.722
366                   28.8203               46.5242
367                   28.9003               44.9199
368                   28.9003               44.9199
369                   28.9405               45.722
370                   29.0212               47.3263
371                   29.0212               47.3263
372                   29.0617               46.5242
373                   29.1024               47.3263
374                   29.1024               47.3263
375                   29.1431               46.5242
376                   29.1839               47.3263
377                   29.1839               47.3263
378                   29.2658               45.722
379                   29.2658               45.722
380                   29.307               46.5242
381                   29.3895               44.9199
382                   29.3895               44.9199
383                   29.4725               46.5242
384                   29.4725               46.5242
385                   29.5142               47.3263
386                   29.5559               46.5242
387                   29.5978               47.3263
388                   29.6398               46.5242
389                   29.6819               47.3263
390                   29.7241               46.5242
391                   29.7241               46.5242
392                   29.8088               44.9199
393                   29.8088               44.9199
394                   29.8513               45.722
395                   29.894               46.5242
396                   29.9367               47.3263
397                   29.9796               46.5242
398                   30.0226               47.3263
399                   30.0656               46.5242
400                   30.1088               45.722
401                   30.1521               46.5242
402                   30.1956               45.722
403                   30.2391               46.5242
404                   30.2391               46.5242
405                   30.3265               48.1285
406                   30.3265               48.1285
407                   30.3704               47.3263
408                   30.4585               45.722
409                   30.4585               45.722
410                   30.547               47.3263
411                   30.547               47.3263
412                   30.5915               46.5242
413                   30.6361               45.722
414                   30.6808               46.5242
415                   30.7705               44.9199
416                   30.7705               44.9199
417                   30.8155               45.722
418                   30.8607               46.5242
419                   30.8607               46.5242
420                   30.906               45.722
421                   30.9514               46.5242
422                   30.9969               45.722
423                   31.0426               46.5242
424                   31.0883               47.3263
425                   31.1342               46.5242
426                   31.1802               45.722
427                   31.2264               46.5242
428                   31.2264               46.5242
429                   31.2726               45.722
430                   31.3655               47.3263
431                   31.3655               47.3263
432                   31.4121               46.5242
433                   31.4589               45.722
434                   31.5057               46.5242
435                   31.5528               45.722
436                   31.5999               46.5242
437                   31.5999               46.5242
438                   31.6471               47.3263
439                   31.6945               46.5242
440                   31.742               45.722
441                   31.7897               46.5242
442                   31.8374               45.722
443                   31.8853               46.5242
444                   31.9333               45.722
445                   31.9815               46.5242
446                   32.0298               47.3263
447                   32.0782               46.5242
448                   32.1754               44.9199
449                   32.1754               44.9199
450                   32.2242               45.722
451                   32.3222               47.3263
452                   32.3222               47.3263
453                   32.3714               46.5242
454                   32.4207               47.3263
455                   32.4702               46.5242
456                   32.5695               44.9199
457                   32.5695               44.9199
458                   32.6694               46.5242
459                   32.6694               46.5242
460                   32.7196               47.3263
461                   32.7699               46.5242
462                   32.8203               47.3263
